,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year,SENTENCE_DAYS,BOND_AMOUNT
0,ZZSRHJZW,01/01/2018,WHITE,M,OTHERS,2018,0,150000
1,ZZHJJHZH,01/02/2018,HISPANIC,M,OTHERS,2018,1826,170000
2,ZZHLJHZW,01/02/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,0,110500
3,ZZSRHJEC,01/02/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,548,150100
4,ZZHHBRBC,01/02/2018,HISPANIC,F,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,913,55000
5,ZZREJEJJ,01/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,100500
6,ZZRREBLW,01/02/2018,BLACK,M,OTHERS,2018,1644,201000
7,ZZHLRSLH,01/02/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,365,50050
8,ZZEZJRBB,01/02/2018,WHITE,M,OTHERS,2018,1461,135000
9,ZZSRHJZJ,01/02/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,0,155000
10,ZZHWZHSB,01/02/2018,BLACK,F,OTHERS,2018,30,1000
11,ZZRRZCLC,01/02/2018,BLACK,M,OTHERS,2018,90,500
12,ZZRHLCCC,01/02/2018,HISPANIC,F,"ROBBERY, FIRST DEGREE                 BF",2018,1461,151000
13,ZZSRHJRE,01/02/2018,BLACK,M,OTHERS,2018,0,26000
14,ZZHHELRJ,01/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,80500
15,ZZSRHJWS,01/03/2018,BLACK,M,OTHERS,2018,12784,1000000
16,ZZSRHJWW,01/03/2018,ASIAN,F,OTHERS,2018,365,100000
17,ZZRHWBLH,01/03/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,91,50000
18,ZZSZSZBR,01/03/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,274,25000
19,ZZHESLBE,01/03/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,25000
